,year,distance_tfidf,distance_lda50,distance_use,distance_stm50
year,1.0,0.0234083647593516,0.1960272104969178,0.07352738999993129,0.1402828797488923
distance_tfidf,0.0234083647593516,1.0,0.8645333757132996,0.6674834193396377,0.8567178487185655
distance_lda50,0.1960272104969178,0.8645333757132996,1.0,0.6836317244254334,0.9324875453451454
distance_use,0.07352738999993129,0.6674834193396377,0.6836317244254334,1.0,0.657504229010891
distance_stm50,0.1402828797488923,0.8567178487185655,0.9324875453451454,0.657504229010891,1.0
